time T_d d2 
0.0 315.0 4.0 
0.188906 331.849823 3.995502 
0.377813 347.496191 3.982196 
0.566719 360.904752 3.948515 
0.755626 370.364978 3.876074 
0.944532 374.725741 3.751777 
1.133439 375.631701 3.591943 
1.322345 375.682271 3.423819 
1.511252 375.68157 3.255678 
1.700158 375.681617 3.088071 
1.889064 375.681611 2.921042 
2.077971 375.681612 2.75465 
2.266877 375.681612 2.588963 
2.455784 375.681612 2.424062 
2.64469 375.681612 2.260039 
2.833597 375.681612 2.097005 
3.022503 375.681612 1.935092 
3.211409 375.681612 1.774459 
3.400316 375.681612 1.615299 
3.589222 375.681612 1.457851 
3.778129 375.681612 1.302413 
3.967035 375.681612 1.149364 
4.155942 375.681612 0.99919 
4.344848 375.681612 0.852531 
4.533755 375.681612 0.710243 
4.722661 375.681613 0.573495 
4.911568 375.681607 0.443917 
5.100475 375.681641 0.323815 
5.289381 375.681354 0.216471 
5.478288 375.684873 0.126411 
5.667195 375.618192 0.059135 
5.856101 377.676411 0.018923 
6.045006 377.676411 0.018923 
