time T_d d2 
0.0 281.0 3.0976 
0.094547 281.0 3.0976 
0.189093 281.0 3.0976 
0.28364 281.0 3.0976 
0.378187 281.0 3.0976 
0.472734 281.0 3.0976 
0.567281 281.0 3.0976 
0.661827 281.0 3.0976 
0.756374 281.0 3.0976 
0.850921 281.0 3.0976 
0.945467 281.0 3.0976 
1.040014 281.0 3.0976 
1.134561 281.0 3.0976 
1.229108 281.0 3.0976 
1.323655 281.0 3.0976 
1.418201 281.0 3.0976 
1.512748 281.0 3.0976 
1.607295 281.0 3.0976 
1.701842 281.0 3.0976 
1.796389 281.0 3.0976 
1.890935 281.0 3.0976 
1.985482 281.0 3.0976 
2.080029 281.0 3.0976 
2.174576 281.0 3.0976 
2.269122 281.0 3.0976 
2.363669 281.0 3.0976 
2.458216 281.0 3.0976 
2.552763 281.0 3.0976 
2.64731 281.0 3.0976 
2.741856 281.0 3.0976 
2.836403 281.0 3.0976 
2.93095 281.0 3.0976 
3.025497 281.0 3.0976 
3.120044 281.0 3.0976 
3.21459 281.0 3.0976 
3.309137 281.0 3.0976 
3.403684 281.0 3.0976 
3.498231 281.0 3.0976 
3.592778 281.0 3.0976 
3.687324 281.0 3.0976 
3.781871 281.0 3.0976 
3.876418 281.0 3.0976 
3.970965 281.0 3.0976 
4.065511 281.0 3.0976 
4.160058 281.0 3.0976 
4.254605 281.0 3.0976 
4.349152 281.0 3.0976 
4.443699 281.0 3.0976 
4.538245 281.0 3.0976 
4.632792 281.0 3.0976 
4.727339 281.0 3.0976 
4.821886 281.0 3.0976 
4.916433 281.0 3.0976 
5.010979 281.0 3.0976 
5.105526 281.0 3.0976 
5.200073 281.0 3.0976 
5.29462 281.0 3.0976 
5.389167 281.0 3.0976 
5.483713 281.0 3.0976 
5.57826 281.0 3.0976 
5.672807 281.0 3.0976 
5.767354 281.0 3.0976 
5.861901 281.0 3.0976 
5.956447 281.0 3.0976 
6.050994 281.0 3.0976 
6.145541 281.0 3.0976 
6.240088 281.0 3.0976 
6.334635 281.0 3.0976 
6.429181 281.0 3.0976 
6.523728 281.0 3.0976 
6.618275 281.0 3.0976 
6.712822 281.0 3.0976 
6.807369 281.0 3.0976 
6.901915 281.0 3.0976 
6.996462 281.0 3.0976 
7.091009 281.0 3.0976 
7.185556 281.0 3.0976 
7.280103 281.0 3.0976 
7.374649 281.0 3.0976 
7.469196 281.0 3.0976 
7.563743 281.0 3.0976 
7.65829 281.0 3.0976 
7.752836 281.0 3.0976 
7.847383 281.0 3.0976 
7.94193 281.0 3.0976 
8.036476 281.0 3.0976 
8.131023 281.0 3.0976 
8.225569 281.0 3.0976 
8.320115 281.0 3.0976 
8.414661 281.0 3.0976 
8.509208 281.0 3.0976 
8.603754 281.0 3.0976 
8.6983 281.0 3.0976 
8.792847 281.0 3.0976 
8.887393 281.0 3.0976 
8.981939 281.0 3.0976 
9.076486 281.0 3.0976 
9.171032 281.0 3.0976 
9.265578 281.0 3.0976 
9.360125 281.0 3.0976 
9.454671 281.0 3.0976 
9.549217 281.0 3.0976 
9.643764 281.0 3.0976 
9.73831 281.0 3.0976 
9.832856 281.0 3.0976 
9.927402 281.0 3.0976 
10.021949 281.0 3.0976 
10.116495 281.0 3.0976 
10.211041 281.0 3.0976 
10.305588 281.0 3.0976 
10.400134 281.0 3.0976 
10.49468 281.0 3.0976 
10.589227 281.0 3.0976 
10.683773 281.0 3.0976 
10.778319 281.0 3.0976 
10.872866 281.0 3.0976 
10.967412 281.0 3.0976 
11.061958 281.0 3.0976 
11.156505 281.0 3.0976 
11.251051 281.0 3.0976 
11.345597 281.0 3.0976 
11.440144 281.0 3.0976 
11.53469 281.0 3.0976 
11.629236 281.0 3.0976 
11.723783 281.0 3.0976 
11.818329 281.0 3.0976 
11.912875 281.0 3.0976 
12.007421 281.0 3.0976 
12.101968 281.0 3.0976 
12.101983 281.0 3.0976 
