time T_d d2 
0.0 282.0 1.1 
0.050811 282.0 1.1 
0.101623 282.0 1.1 
0.152434 282.0 1.1 
0.203246 282.0 1.1 
0.254057 282.0 1.1 
0.304868 282.0 1.1 
0.35568 282.0 1.1 
0.406491 282.0 1.1 
0.457302 282.0 1.1 
0.508114 282.0 1.1 
0.558925 282.0 1.1 
0.609737 282.0 1.1 
0.660548 282.0 1.1 
0.711359 282.0 1.1 
0.762171 282.0 1.1 
0.812982 282.0 1.1 
0.863794 282.0 1.1 
0.914605 282.0 1.1 
0.965416 282.0 1.1 
1.016228 282.0 1.1 
1.067039 282.0 1.1 
1.117851 282.0 1.1 
1.168662 282.0 1.1 
1.219474 282.0 1.1 
1.270285 282.0 1.1 
1.321096 282.0 1.1 
1.371908 282.0 1.1 
1.422719 282.0 1.1 
1.473531 282.0 1.1 
1.524342 282.0 1.1 
1.575153 282.0 1.1 
1.625965 282.0 1.1 
1.676776 282.0 1.1 
1.727588 282.0 1.1 
1.778399 282.0 1.1 
1.82921 282.0 1.1 
1.880022 282.0 1.1 
1.930833 282.0 1.1 
1.981645 282.0 1.1 
2.032456 282.0 1.1 
2.083267 282.0 1.1 
2.134079 282.0 1.1 
2.18489 282.0 1.1 
2.235701 282.0 1.1 
2.286512 282.0 1.1 
2.337324 282.0 1.1 
2.388135 282.0 1.1 
2.438946 282.0 1.1 
2.489758 282.0 1.1 
2.540569 282.0 1.1 
2.59138 282.0 1.1 
2.642192 282.0 1.1 
2.693003 282.0 1.1 
2.743814 282.0 1.1 
2.794625 282.0 1.1 
2.845437 282.0 1.1 
2.896248 282.0 1.1 
2.947059 282.0 1.1 
2.997871 282.0 1.1 
3.048682 282.0 1.1 
3.099493 282.0 1.1 
3.150304 282.0 1.1 
3.201116 282.0 1.1 
3.251927 282.0 1.1 
3.302738 282.0 1.1 
3.35355 282.0 1.1 
3.404361 282.0 1.1 
3.455172 282.0 1.1 
3.505983 282.0 1.1 
3.556795 282.0 1.1 
3.607606 282.0 1.1 
3.658417 282.0 1.1 
3.709229 282.0 1.1 
3.76004 282.0 1.1 
3.810851 282.0 1.1 
3.861663 282.0 1.1 
3.912474 282.0 1.1 
3.963285 282.0 1.1 
4.014096 282.0 1.1 
4.064908 282.0 1.1 
4.115719 282.0 1.1 
4.16653 282.0 1.1 
4.217342 282.0 1.1 
4.268153 282.0 1.1 
4.318964 282.0 1.1 
4.369776 282.0 1.1 
4.420587 282.0 1.1 
4.471398 282.0 1.1 
4.522209 282.0 1.1 
4.573021 282.0 1.1 
4.623832 282.0 1.1 
4.674643 282.0 1.1 
4.725455 282.0 1.1 
4.776266 282.0 1.1 
4.827077 282.0 1.1 
4.877888 282.0 1.1 
4.9287 282.0 1.1 
4.979511 282.0 1.1 
5.030322 282.0 1.1 
5.081134 282.0 1.1 
5.131945 282.0 1.1 
5.182756 282.0 1.1 
5.233567 282.0 1.1 
5.284379 282.0 1.1 
5.33519 282.0 1.1 
5.386001 282.0 1.1 
5.436813 282.0 1.1 
5.487624 282.0 1.1 
5.538435 282.0 1.1 
5.589247 282.0 1.1 
5.640058 282.0 1.1 
5.690869 282.0 1.1 
5.74168 282.0 1.1 
5.792492 282.0 1.1 
5.843303 282.0 1.1 
5.894114 282.0 1.1 
5.944926 282.0 1.1 
5.995737 282.0 1.1 
6.046548 282.0 1.1 
6.097359 282.0 1.1 
6.148171 282.0 1.1 
6.198982 282.0 1.1 
6.249793 282.0 1.1 
6.300605 282.0 1.1 
6.351416 282.0 1.1 
6.402227 282.0 1.1 
6.453038 282.0 1.1 
6.50385 282.0 1.1 
6.554661 282.0 1.1 
6.605472 282.0 1.1 
6.656284 282.0 1.1 
6.707095 282.0 1.1 
6.757906 282.0 1.1 
6.808718 282.0 1.1 
6.859529 282.0 1.1 
6.91034 282.0 1.1 
6.961151 282.0 1.1 
7.011963 282.0 1.1 
7.062774 282.0 1.1 
7.113585 282.0 1.1 
7.164397 282.0 1.1 
7.215208 282.0 1.1 
7.266019 282.0 1.1 
7.31683 282.0 1.1 
7.367642 282.0 1.1 
7.418453 282.0 1.1 
7.469264 282.0 1.1 
7.520076 282.0 1.1 
7.570887 282.0 1.1 
7.621698 282.0 1.1 
7.672509 282.0 1.1 
7.723321 282.0 1.1 
7.774132 282.0 1.1 
7.824943 282.0 1.1 
7.875755 282.0 1.1 
7.926566 282.0 1.1 
7.977377 282.0 1.1 
8.028189 282.0 1.1 
8.079001 282.0 1.1 
8.129812 282.0 1.1 
8.180624 282.0 1.1 
8.231436 282.0 1.1 
8.282248 282.0 1.1 
8.33306 282.0 1.1 
8.383871 282.0 1.1 
8.434683 282.0 1.1 
8.485495 282.0 1.1 
8.536306 282.0 1.1 
8.587118 282.0 1.1 
8.63793 282.0 1.1 
8.688742 282.0 1.1 
8.739553 282.0 1.1 
8.790365 282.0 1.1 
8.841177 282.0 1.1 
8.891989 282.0 1.1 
8.942801 282.0 1.1 
8.993612 282.0 1.1 
9.044424 282.0 1.1 
9.095236 282.0 1.1 
9.146048 282.0 1.1 
9.196859 282.0 1.1 
9.247671 282.0 1.1 
9.298483 282.0 1.1 
9.349295 282.0 1.1 
9.400106 282.0 1.1 
9.450918 282.0 1.1 
9.50173 282.0 1.1 
9.552542 282.0 1.1 
9.603354 282.0 1.1 
9.654165 282.0 1.1 
9.704977 282.0 1.1 
9.755789 282.0 1.1 
9.806601 282.0 1.1 
9.857412 282.0 1.1 
9.908224 282.0 1.1 
9.959036 282.0 1.1 
10.009848 282.0 1.1 
10.060659 282.0 1.1 
10.111471 282.0 1.1 
10.162283 282.0 1.1 
10.213095 282.0 1.1 
10.263906 282.0 1.1 
10.314718 282.0 1.1 
10.36553 282.0 1.1 
10.416342 282.0 1.1 
10.467154 282.0 1.1 
10.517965 282.0 1.1 
10.568777 282.0 1.1 
10.619589 282.0 1.1 
10.670401 282.0 1.1 
10.721212 282.0 1.1 
10.772024 282.0 1.1 
10.822836 282.0 1.1 
10.873648 282.0 1.1 
10.924459 282.0 1.1 
10.975271 282.0 1.1 
11.026083 282.0 1.1 
11.076895 282.0 1.1 
11.127707 282.0 1.1 
11.178518 282.0 1.1 
11.22933 282.0 1.1 
11.280142 282.0 1.1 
11.330954 282.0 1.1 
11.381765 282.0 1.1 
11.432577 282.0 1.1 
11.483389 282.0 1.1 
11.534201 282.0 1.1 
11.585012 282.0 1.1 
11.635824 282.0 1.1 
11.686636 282.0 1.1 
11.737448 282.0 1.1 
11.78826 282.0 1.1 
11.839071 282.0 1.1 
11.889883 282.0 1.1 
11.940695 282.0 1.1 
11.991507 282.0 1.1 
12.042318 282.0 1.1 
12.09313 282.0 1.1 
12.143942 282.0 1.1 
12.194754 282.0 1.1 
12.245565 282.0 1.1 
12.296377 282.0 1.1 
12.347189 282.0 1.1 
12.398001 282.0 1.1 
12.448812 282.0 1.1 
12.499624 282.0 1.1 
12.550436 282.0 1.1 
12.601248 282.0 1.1 
12.65206 282.0 1.1 
12.702871 282.0 1.1 
12.753683 282.0 1.1 
12.804495 282.0 1.1 
12.855307 282.0 1.1 
12.906118 282.0 1.1 
12.95693 282.0 1.1 
13.007742 282.0 1.1 
13.058554 282.0 1.1 
13.109365 282.0 1.1 
13.160177 282.0 1.1 
13.210989 282.0 1.1 
13.261801 282.0 1.1 
13.312613 282.0 1.1 
13.363424 282.0 1.1 
13.414236 282.0 1.1 
13.465048 282.0 1.1 
13.51586 282.0 1.1 
13.566671 282.0 1.1 
13.617483 282.0 1.1 
13.668295 282.0 1.1 
13.719107 282.0 1.1 
13.769918 282.0 1.1 
13.82073 282.0 1.1 
13.871542 282.0 1.1 
13.922354 282.0 1.1 
13.973166 282.0 1.1 
14.023977 282.0 1.1 
14.074789 282.0 1.1 
14.125601 282.0 1.1 
14.176413 282.0 1.1 
14.227224 282.0 1.1 
14.278036 282.0 1.1 
14.328848 282.0 1.1 
14.37966 282.0 1.1 
14.430471 282.0 1.1 
14.481283 282.0 1.1 
14.532095 282.0 1.1 
14.582907 282.0 1.1 
14.633718 282.0 1.1 
14.68453 282.0 1.1 
14.735342 282.0 1.1 
14.786154 282.0 1.1 
14.836966 282.0 1.1 
14.887777 282.0 1.1 
14.938589 282.0 1.1 
14.989401 282.0 1.1 
15.040213 282.0 1.1 
15.091024 282.0 1.1 
15.141836 282.0 1.1 
15.192648 282.0 1.1 
15.24346 282.0 1.1 
15.294271 282.0 1.1 
15.345083 282.0 1.1 
15.395895 282.0 1.1 
15.446707 282.0 1.1 
15.497519 282.0 1.1 
15.54833 282.0 1.1 
15.599142 282.0 1.1 
15.649954 282.0 1.1 
15.700766 282.0 1.1 
15.751577 282.0 1.1 
15.802389 282.0 1.1 
15.853201 282.0 1.1 
15.904013 282.0 1.1 
15.954824 282.0 1.1 
16.005636 282.0 1.1 
16.056448 282.0 1.1 
16.10726 282.0 1.1 
16.158072 282.0 1.1 
16.208883 282.0 1.1 
16.259695 282.0 1.1 
16.310507 282.0 1.1 
16.361319 282.0 1.1 
16.41213 282.0 1.1 
16.462942 282.0 1.1 
16.513754 282.0 1.1 
16.564566 282.0 1.1 
16.615377 282.0 1.1 
16.666189 282.0 1.1 
16.717001 282.0 1.1 
16.767813 282.0 1.1 
16.818624 282.0 1.1 
16.869436 282.0 1.1 
16.920248 282.0 1.1 
16.97106 282.0 1.1 
17.021872 282.0 1.1 
17.072684 282.0 1.1 
17.123496 282.0 1.1 
17.174306 282.0 1.1 
17.225118 282.0 1.1 
17.27593 282.0 1.1 
17.326742 282.0 1.1 
17.377554 282.0 1.1 
17.428366 282.0 1.1 
17.479178 282.0 1.1 
17.52999 282.0 1.1 
17.580802 282.0 1.1 
17.631612 282.0 1.1 
17.682424 282.0 1.1 
17.733236 282.0 1.1 
17.784048 282.0 1.1 
17.83486 282.0 1.1 
17.885672 282.0 1.1 
17.936484 282.0 1.1 
17.987296 282.0 1.1 
